,Unnamed: 0,Store,Store Latitude,Store Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,0,Bloom Dispensary,33.447499512302315,-111.99179170230312,Bloom Dispensary,33.447499512302315,-111.99179170230312,Marijuana Dispensary
1,1,Bloom Dispensary,33.447499512302315,-111.99179170230312,PHX Skytrain Station,33.446822435002105,-111.99031591415404,Light Rail Station
2,2,Bloom Dispensary,33.447499512302315,-111.99179170230312,Speedy Street Tacos,33.4485684907668,-111.99516616321098,Taco Place
3,3,Bloom Dispensary,33.447499512302315,-111.99179170230312,Crowne Plaza Phoenix Airport,33.44885809618918,-111.9885211865082,Hotel
4,4,Bloom Dispensary,33.447499512302315,-111.99179170230312,Papa John's Pizza,33.44916915893555,-111.99549865722656,Pizza Place
5,5,Bloom Dispensary,33.447499512302315,-111.99179170230312,Airport auto center,33.448476,-111.993349,Airport
6,6,Bloom Dispensary,33.447499512302315,-111.99179170230312,Flixbus Phoenix,33.447272,-111.990804,Bus Stop
7,7,Bloom Dispensary,33.447499512302315,-111.99179170230312,PHX Eats Cafe,33.449412,-111.991377,Café
8,8,Bloom Dispensary,33.447499512302315,-111.99179170230312,THE POST,33.448887,-111.98882,Restaurant
9,9,Bloom Dispensary,33.447499512302315,-111.99179170230312,METRO 44th St/Washington St,33.44820305901371,-111.98833253776051,Light Rail Station
10,10,Bloom Dispensary,33.447499512302315,-111.99179170230312,The Wren Hotel,33.44861303744882,-111.98847114708708,Hotel
11,11,Bloom Dispensary,33.447499512302315,-111.99179170230312,Crowne Plaza Fitness Center,33.448545529783736,-111.98840128261403,Gym
12,12,Bloom Dispensary,33.447499512302315,-111.99179170230312,Phoenix Airport Plaza Hotel,33.4486239117311,-111.98819751122524,Hotel
13,13,Bloom Dispensary,33.447499512302315,-111.99179170230312,Cafe Sha,33.44886016845703,-111.9882583618164,New American Restaurant
14,14,Bloom Dispensary,33.447499512302315,-111.99179170230312,Mama's Place The Legend Continues,33.447474,-111.996232,Department Store
15,15,Bloom Dispensary,33.447499512302315,-111.99179170230312,Circle K,33.44861055663737,-111.98673056726136,Convenience Store
16,16,Bloom Dispensary,33.447499512302315,-111.99179170230312,Washington Street & 44th Street,33.44817197686732,-111.98713770279522,Intersection
17,17,Bloom Dispensary,33.447499512302315,-111.99179170230312,"US Customs, Phoenix, AZ",33.44819259506241,-111.98714954386948,Airport Terminal
18,18,Bloom Dispensary,33.447499512302315,-111.99179170230312,Markets West Office Furniture,33.448605902007955,-111.98726016266276,Furniture / Home Store
19,19,Bloom Dispensary,33.447499512302315,-111.99179170230312,Bus Stop 12968,33.448726654052734,-111.9869613647461,Bus Stop
20,20,TruMed Dispensary,33.46628185,-111.99523226,TruMed Dispensary,33.46628185,-111.99523226,Alternative Healer
21,21,TruMed Dispensary,33.46628185,-111.99523226,Diamond Lounge,33.465979571335325,-111.99195854667136,Bar
22,22,TruMed Dispensary,33.46628185,-111.99523226,OUTTA BRONX,33.465605,-111.992843,New American Restaurant
23,23,TruMed Dispensary,33.46628185,-111.99523226,Redbox,33.46615982055664,-111.99614715576172,Video Store
24,24,TruMed Dispensary,33.46628185,-111.99523226,Circle K,33.4662518,-111.9961708,Convenience Store
25,25,TruMed Dispensary,33.46628185,-111.99523226,zam zam world foods,33.467118023663886,-111.99581226410488,Indian Restaurant
26,26,TruMed Dispensary,33.46628185,-111.99523226,METRO 40th St/McDowell,33.46575552504195,-111.9955390946678,Bus Station
27,27,TruMed Dispensary,33.46628185,-111.99523226,EZ Trip,33.4658912651465,-111.99551060296342,Convenience Store
28,28,TruMed Dispensary,33.46628185,-111.99523226,Cork & Bottle Liquors,33.46545821555689,-111.99290111354271,Liquor Store
29,29,TruMed Dispensary,33.46628185,-111.99523226,Krispy Krunchy Chicken,33.46538543701172,-111.99258422851562,Cajun / Creole Restaurant
30,30,TruMed Dispensary,33.46628185,-111.99523226,Ethiopian Famous Restaurant,33.465384,-111.992543,Ethiopian Restaurant
31,31,TruMed Dispensary,33.46628185,-111.99523226,The Lunchbox (Music Venue),33.466026,-111.99202,Music Venue
32,32,Sunnyside Medical Cannabis Dispensary - Phoenix,33.473428,-112.116735,27th Ave Bar & Grill,33.47091389211394,-112.1175408208318,Bar
33,33,Sunnyside Medical Cannabis Dispensary - Phoenix,33.473428,-112.116735,Encanto Green Cross,33.47356719913518,-112.11589674704685,Marijuana Dispensary
34,34,Sunnyside Medical Cannabis Dispensary - Phoenix,33.473428,-112.116735,The Jade Monkey Tattoo and Piercing,33.47288513183594,-112.11956024169922,Art Gallery
35,35,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Li's Bowl,33.38931707791747,-112.134285529396,Asian Restaurant
36,36,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Church's Chicken,33.38940299464101,-112.13442177109664,Fried Chicken Joint
37,37,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Jack in the Box,33.3910316,-112.1341751,Fast Food Restaurant
38,38,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Sally Beauty,33.38904,-112.135866,Cosmetics Shop
39,39,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Walgreens,33.39268553582188,-112.13291823863987,Pharmacy
40,40,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,SUBWAY,33.39277448414463,-112.13232653725164,Sandwich Place
41,41,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Rainbow Fashion (35th Ave/Southern),33.38895078729384,-112.13560172313444,Women's Store
42,42,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,OfficeMax (Laveen Village Center),33.38935089111328,-112.13638305664062,Paper / Office Supplies Store
43,43,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,DJ's Fish & Chips,33.3894157409668,-112.13428497314452,Seafood Restaurant
44,44,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Long Wong's of Laveen,33.389399,-112.134252,Fried Chicken Joint
45,45,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Marijuana Dispensary
46,46,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Office Max,33.389252,-112.136646,Paper / Office Supplies Store
47,47,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Alaska USA Federal Credit Union,33.391494,-112.13428799999998,Credit Union
48,48,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Taco Bell,33.393340670193645,-112.13322498658032,Fast Food Restaurant
49,49,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Filiberto's Mexican Food,33.39250183105469,-112.13575744628906,Mexican Restaurant
50,50,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,You Need Nails & Facials,33.392669677734375,-112.13233947753906,Cosmetics Shop
51,51,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Fruitlicious,33.392669677734375,-112.13233947753906,Ice Cream Shop
52,52,"Phoenix Relief Center, Medical Marijuana Dispensary",33.38911819458008,-112.13434600830078,Hibachi City Buffet,33.393146,-112.132201,Chinese Restaurant
53,53,MüV Dispensary,33.601669,-112.037756,Manuel's Mexican Resturant,33.60282249690452,-112.03663946765457,Mexican Restaurant
54,54,MüV Dispensary,33.601669,-112.037756,Dairy Queen,33.60223914474422,-112.03649751842022,Ice Cream Shop
55,55,MüV Dispensary,33.601669,-112.037756,The Home Depot,33.5994607,-112.0384661,Hardware Store
56,56,MüV Dispensary,33.601669,-112.037756,CC'S Mesquite Broiler,33.598122081062726,-112.03710253031876,Mexican Restaurant
57,57,MüV Dispensary,33.601669,-112.037756,Firestone Complete Auto Care,33.5994648,-112.03685434,Automotive Shop
58,58,MüV Dispensary,33.601669,-112.037756,Circle K,33.60306,-112.036852,Convenience Store
59,59,MüV Dispensary,33.601669,-112.037756,Great Clips,33.59815989280047,-112.038756608963,Salon / Barbershop
60,60,MüV Dispensary,33.601669,-112.037756,Tamale Store,33.60588833333333,-112.03674991666666,Mexican Restaurant
61,61,MüV Dispensary,33.601669,-112.037756,New North China,33.60371017456055,-112.03623962402344,Chinese Restaurant
62,62,MüV Dispensary,33.601669,-112.037756,Filiberto's,33.59730635027606,-112.03876171335942,Mexican Restaurant
63,63,MüV Dispensary,33.601669,-112.037756,Phoenix Jazzercise,33.59843507014346,-112.0391566695705,Gym / Fitness Center
64,64,MüV Dispensary,33.601669,-112.037756,Taco Bell,33.59763641956177,-112.03708044187496,Fast Food Restaurant
65,65,MüV Dispensary,33.601669,-112.037756,US Grass and Greens of Phoenix,33.60195277,-112.03349425,Construction & Landscaping
66,66,MüV Dispensary,33.601669,-112.037756,The cages Training Facility,33.598487,-112.035672,Gym / Fitness Center
67,67,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Costco,33.62304435939949,-111.9008320569992,Warehouse Store
68,68,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Saigon Nites,33.62201210615917,-111.90455430863352,Vietnamese Restaurant
69,69,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Cafe Paris,33.6226083685077,-111.90370595083364,Café
70,70,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,CrossFit Scottsdale,33.62066386857361,-111.90087491939816,Gym
71,71,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Enterprise Rent-A-Car,33.62179360617529,-111.9054400920868,Rental Car Location
72,72,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Samurai Sam's,33.622056,-111.904496,Japanese Restaurant
73,73,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Costco Optical,33.623653,-111.90188,Optical Shop
74,74,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Thingz,33.6229188,-111.9031004,Furniture / Home Store
75,75,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Scottsdale AirCenter (SDL),33.625658844262205,-111.90460042768888,Airport Terminal
76,76,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Fresh BBQ Innovations,33.622205075723706,-111.90418574470522,Restaurant
77,77,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Tierra Del Lagarto,33.625457763671875,-111.90143585205078,Furniture / Home Store
78,78,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Feathers,33.62542029611652,-111.90122674574448,Furniture / Home Store
79,79,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Bungalow Furniture & Accessories,33.625635,-111.90085,Furniture / Home Store
80,80,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Sub-Zero & Wolf,33.627503999999995,-111.903011,Furniture / Home Store
81,81,Harvest HOC of Scottsdale Dispensary,33.62400830000001,-111.9036692,Scottsdale Airpark Center,33.6210151538415,-111.90747394550452,Airport
82,82,Nature's Medicines Dispensary,33.46587044664698,-112.11282849311829,ampm,33.46642091,-112.11658872,Convenience Store
83,83,Nature's Medicines Dispensary,33.46587044664698,-112.11282849311829,What A Sub,33.464273,-112.113983,Sandwich Place
84,84,Nature's Medicines Dispensary,33.46587044664698,-112.11282849311829,Interstate 17 at Exit 200B,33.465897315446995,-112.10986000806372,Intersection
85,85,Nature's Medicines Dispensary,33.46587044664698,-112.11282849311829,Franciscos Band Spaces,33.469354904712226,-112.10952924605355,Rock Club
86,86,Urban Greenhouse Dispensary,33.49532770892785,-112.11554319429054,Urban Greenhouse Dispensary,33.49532770892785,-112.11554319429054,Marijuana Dispensary
